MAG	ASW11	ASW15	ASW19	ASW20	ASW22	ASW29	ASW2	ASW31	ASW35	ASW37	ASW38	ASW3	ASW45	ASW47	ASW49	ASW50	ASW51	ASW54	ASW56	ASW59	ASW62	ASW64	ASW65	ASW66	ASW67	ASW68	ASW69	ASW74	ASW7
metabat.1	0	0	0	0.7906688	0	0.08435676	0	0.3090992	0	0.99818593	0.037862208	0.14083976	0	0	0	0	0	0	0	0.23221338	0	0	0	0	0	0	0	0	0
metabat.136	0	0.041568432	0	0.16137202	0.95466864	0.52476794	0	0	0	0.42644194	0.031596813	0	0	0.3361916	0.14086476	0	0	0	10.592461	0.26235864	0	0.15273371	0.035430152	0.27036452	0	0.08266403	0.26535353	0.7785191	5.2664957
metabat.64	0	0	0	0	0	0.14171317	0.08677907	0.031958826	0	0.13210902	0.327524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.098098
metabat.93	16.991877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metabat.84	0	0.14149128	0	0.29732385	0	0	0	0.16187608	0	0.15753359	0.12678982	0	0	2.732763	0	0	0	0	0	0	0	12.789129	0	0	0	0	0.28435034	0	0
metabat.121	0	6.643237	0	0	0	0	0	0	0	0	0	0	0	8.303441	0	0	0	0	0	0.097889505	0	0	0	0	0	0	0	0	0
metabat.72	0	0	0	0	0	0.10555513	0	0	0	0	0	0.39913607	0	0	0	0	0	0	0	0.17105098	0	0	0	0	0.110418215	9.109051	0	0	0
metabat.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9676843	0	0	11.090585	0	0	0	0	0	0	0	0	0	0	0
metabat.15	0.6658285	0	1.5928845	0	0	0	5.567495	0	0.30645594	0	0	0	0	0	0	1.1539137	0	0	0	0	1.6115524	0	0	0.253229	0	0	2.0844476	9.3766775	0
metabat.38	0	0	0	0	0	2.0805814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metabat.145	0	0	0.84396344	0	1.1462328	0	0	0	2.4525275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6951623	0	0	0	0	0
metabat.67	0	0	0	0	4.9512053	1.0174882	0.63484937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.772711
metabat.90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6123894	1.0796813	0	0	0	0	0.6383244	0	0	0	0	0	0	0	0
metabat.135	0	0	0	0	0	0.04093736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.514741	0	0	0
metabat.2	0	0.11925466	0	0.11747634	0.036932282	0.108487144	0	0.11748988	0	0.3050705	0.2747526	0.1505016	0.65760756	0.7226127	0.7949091	0	0.06968461	0	0	0.5097597	0	0.24883878	0.28647107	0.43047273	0	0.08408178	1.494386	3.7844994	0.18328324
metabat.70	0	0.62068933	0	4.032845	0	0	0.24555874	1.6820484	0	1.1660659	0	0	0	0	4.130806	0	0	0.045866422	0	0	0	0	2.1278872	0	0.13347144	0	0	0	2.4282517
metabat.152	0	0	0	0	0	0	0	0	0	0	0	0.60776865	0	2.1632338	0	0	0	0	0	1.5893689	0	0.58797234	1.7243259	0	0	0	3.641322	0	0
metabat.86	0	0.068282105	0	0	0	0.032113608	0	0	0	0.44936424	0	0	0	0.8459476	0	0	0	0	0	0	0	0	0	0	0	0	4.668057	0	0
metabat.134	0	0	0	0.12120743	0	0.030106172	0	0.067031056	0	0.68920463	1.2434696	0	0	0	0	0	0	0	0	0.18871209	0	0	0	0.18276033	0	0	0	0	0
metabat.3	0	0	3.168589	0.20222946	4.026733	3.0355392	0.14176522	0	0	0	0	0.8790783	1.5986537	0	1.5471199	0.32291135	0.075113475	0	0	0.44006133	0.18901904	0.051018786	0.06456257	0	0	0.10552891	0.2502901	1.7781769	36.539818
metabat.91	0	0	0	0	0	0	0	0	0	0.47845608	0	0	0.28036246	0	1.7129204	0	0	0	0	0	0.06660754	0	0.6211228	0	0	0	0	0	0
metabat.144	29.677454	20.039717	5.2604346	25.857185	0.07116477	0.040952794	6.3600645	45.567764	48.65786	18.696384	0.11881326	17.734608	28.737358	0.79891837	1.5455354	35.089462	1.2774452	0.7013308	1.7932355	7.1320696	15.451383	5.173	44.660618	2.7233233	1.703813	0.1956262	7.936423	10.8633175	0
metabat.82	0	0	0	0	2.7370477	0	5.6024904	0	0	0	1.7164856	0	0	0	0	0	0	0.65745723	0	0	0	0.16165109	0	0.113272145	0.23120861	0	0	0	0
metabat.75	0	0	0	0	0	0	0	0	0	0	0.04791123	0	0	0	0	0	0.86332256	0	0	0	0	5.610598	0	0	0	0	0	0	0
metabat.140	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5549364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
