Family,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Eubacteriales XIII,1624,821,0,199,2238,4280,1236,677,4959,5125,3889,197,320,265,307,328,5768,59,203,52,999,2043,771,4400,895,369,3516,1321,0,1608,3051
Clostridiaceae,105736,22561,63,9308,15640,11754,4546,16797,141273,148895,36983,3499,6813,6649,10145,3146,100855,1434,10535,2248,8434,39329,29252,120048,16177,8327,24487,55452,64,31051,13348
Peptostreptococcaceae,23863,8493,15,2706,3901,4385,3065,3580,43194,29096,32168,1636,2957,3889,29419,3503,20999,807,2229,503,2613,12423,5862,33554,4766,1661,37506,146211,36,12401,5031
Lachnospiraceae,14567,20367,25,1825,13204,12631,18459,2823,33724,28719,119448,7570,5517,3682,103193,4837,16255,1558,2324,681,21738,8729,92424,62477,54612,1776,19522,389791,151,28830,36869
Oscillospiraceae,8588,10240,0,2887,9212,12929,20788,1736,11587,11353,31631,17169,2381,1152,11404,2481,31937,856,3050,658,13664,9804,6246,12430,14583,919,21489,11781,66,30240,31954
Vallitaleaceae,1246,139,0,86,150,192,66,118,742,887,384,36,54,36,41,29,615,0,206,27,81,257,160,953,123,77,269,252,0,237,171
Eubacteriaceae,1344,481,0,169,572,496,1022,332,5956,2062,1993,254,187,113,1445,343,1541,25,266,37,577,668,990,2329,479,140,2932,2862,0,13363,1927
Desulfitobacteriaceae,703,204,0,85,162,198,180,96,893,1264,417,49,61,61,106,53,991,15,114,19,111,342,156,1076,216,65,1436,365,0,276,145
Peptococcaceae,383,85,0,97,52,121,142,59,342,636,270,0,38,18,70,41,705,0,91,70,60,300,76,565,148,14,788,242,0,117,150
Syntrophomonadaceae,213,81,0,80,54,87,74,29,339,425,69,15,16,11,22,27,389,0,37,0,27,146,71,349,76,37,175,62,0,127,38
Heliobacteriaceae,209,12,0,56,30,154,43,19,76,92,103,23,16,0,19,16,352,0,38,0,20,299,90,83,27,0,98,34,0,44,102
Proteinivoraceae,184,65,0,26,57,57,10,28,426,453,103,11,26,12,0,10,357,0,29,0,18,119,45,335,82,14,97,77,0,69,16
Thermincolaceae,150,0,0,0,0,16,15,0,15,36,19,0,0,0,0,11,23,0,12,0,0,0,0,20,25,0,30,0,0,13,0
Desulfallaceae,56,0,0,37,0,53,47,0,18,0,26,0,0,0,15,13,16,0,14,0,10,0,0,19,11,0,86,12,0,14,20
Symbiobacteriaceae,39,17,0,48,0,20,124,0,82,12,16,16,0,0,0,0,71,0,78,46,0,69,0,0,0,46,38,0,0,70,35
Thermoanaerobacterales III,2426,793,0,313,599,491,149,431,4286,5092,1020,88,262,264,83,111,3814,47,388,70,225,1234,416,4349,448,254,778,640,0,1103,359
Thermoanaerobacteraceae,1395,332,0,169,260,412,167,205,2510,2160,528,89,116,116,83,70,1755,30,266,49,97,672,244,1777,234,196,793,294,0,492,274
Thermodesulfobiaceae,19,0,0,0,0,11,0,0,12,0,13,0,0,0,10,0,28,0,0,0,0,0,0,15,125,0,59,17,0,20,0
Halanaerobiaceae,841,198,0,71,147,101,40,125,1095,1270,247,38,67,48,24,50,1013,12,164,17,62,332,113,1143,153,68,275,160,0,288,108
