Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Abiotrophia,Abiotrophia defectiva,11,0,0,0,0,0,14,0,15,50,0,25,0,0,0,0,50,0,23,0,0,28,0,24,0,0,0,0,22,13,0
Absconditicoccus,Absconditicoccus praedator,37,52,0,16,30,13,0,21,253,325,37,0,19,21,0,0,248,0,0,0,0,64,24,216,20,0,11,38,0,62,15
Abyssalbus,Abyssalbus ytuae,90,0,0,0,0,0,10,0,28,19,14,0,0,0,0,0,20,0,0,0,0,13,16,100,0,0,36,0,0,11,12
Abyssicoccus,Abyssicoccus albus,63,0,0,0,0,0,0,0,25,43,19,0,0,0,0,0,15,0,36,0,0,0,17,41,26,0,11,16,0,0,0
Acaryochloris,Acaryochloris marina,0,0,0,0,0,57,0,55,0,0,0,0,0,0,0,0,95,0,0,0,0,116,0,0,0,0,0,0,0,0,60
Acetivibrio,Acetivibrio clariflavus,709,91,0,76,104,72,28,58,574,967,251,19,35,51,46,15,726,0,27,34,26,185,58,631,31,37,142,244,0,170,87
Acetivibrio,Acetivibrio saccincola,124,38,0,17,20,74,67,27,169,172,50,0,13,0,15,0,170,0,24,0,15,60,54,199,43,17,122,68,0,64,46
Acetivibrio,Acetivibrio thermocellus,232,0,0,0,0,41,21,0,21,32,50,0,0,0,13,0,59,0,45,0,14,16,10,41,20,0,358,68,0,19,44
Acetoanaerobium,Acetoanaerobium sticklandii,707,163,0,61,117,176,43,94,836,1040,234,17,57,60,14,36,683,11,84,0,44,239,104,854,169,52,404,166,0,221,82
Acetobacter,Acetobacter aceti,0,0,0,0,0,34,23,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Acetobacter,Acetobacter ascendens,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacter,Acetobacter ghanensis,21,0,0,43,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacter,Acetobacter orientalis,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Acetobacter,Acetobacter pasteurianus,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacter,Acetobacter persici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Acetobacter,Acetobacter sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Acetobacter,Acetobacter tropicalis,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Acetobacterium,Acetobacterium sp.,33,11,0,0,0,32,14,13,19,66,33,18,0,0,0,13,25,0,0,0,0,0,0,23,53,0,43,28,0,0,0
Acetobacterium,Acetobacterium wieringae,275,46,0,22,46,86,19,34,310,411,98,0,22,22,20,0,227,0,0,0,19,62,41,315,93,16,69,55,0,70,44
Acetobacterium,Acetobacterium woodii,37,12,0,0,11,13,16,0,79,112,24,0,0,0,14,0,55,0,0,0,0,23,16,68,29,0,46,43,0,14,19
Acetohalobium,Acetohalobium arabaticum,425,85,0,29,100,0,11,16,538,687,104,0,24,40,0,0,474,13,0,10,17,136,36,482,21,13,41,50,0,90,0
Acetomicrobium,Acetomicrobium mobile,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,55,0,0,0,0
Acholeplasma,Acholeplasma hippikon,35,14,0,0,11,0,0,0,99,139,32,0,0,0,0,0,77,0,0,0,0,30,32,153,10,0,0,11,0,17,0
Acholeplasma,Acholeplasma laidlawii,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,23,10,13,0,16,13,0,0,0
Achromobacter,Achromobacter deleyi,0,0,0,0,0,0,26,0,0,0,0,21,0,0,0,0,0,27,48,0,0,14,0,0,0,24,24,0,0,27,0
Achromobacter,Achromobacter denitrificans,71,0,0,0,0,0,0,0,22,0,0,54,0,0,0,0,64,26,55,52,0,56,0,0,0,140,75,0,0,0,136
Achromobacter,Achromobacter insolitus,0,0,0,11,0,12,18,0,0,0,0,0,0,0,0,0,0,15,131,0,0,0,0,0,0,0,14,0,0,0,196
Achromobacter,Achromobacter pestifer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
