numID,KI_exp,compound,similarity,ASW74,ASW47,ASW20,ASW68,ASW38,ASW54,ASW19,ASW59,ASW50,ASW31,ASW66,ASW35,ASW67,ASW22,ASW2,ASW7,ASW29,ASW37,ASW11,ASW65,ASW56,ASW51,ASW15
1,1525,4S-3.4-Dihydro-2H-1-benzopyran-4-amine. N-trimethylsilyl-,61.36,0,420821,0,476575,409632,46245,248003,0,3158430,148996,129636,578158,143460,3712321,0,55137,0,967612,89202,1385104,147813,602066,0
2,1835,1.3.5.7.9.11-hexasiloxane. 1.1.3.3.5.5.7.7.9.9.11.11-dodecamethyl-1.11-ditert.butyl-,71.58,0,130319,0,332989,433840,149743,518122,0,0,521715,301676,0,131698,138321,248326,0,0,0,170520,174032,184239,491948,0
3,1648,1.3.5.7.9-Pentasiloxane. 1.1.3.3.5.5.7.7.9.9-decamethyl-1.9-ditert.butyl-,79.28,0,0,0,0,13926154,3405961,7073041,0,3713129,0,3229139,0,0,0,0,3919683,0,0,0,0,4196426,0,0
4,2056,1.3-Dioxolane. 2-phenyl-2-phenylmethyl-,70.19,35679,0,0,0,0,0,114561,0,33968,0,0,0,360277,0,0,208560,6823,110215,0,0,0,0,0
5,2659,11-Eicosenoic acid. Z-. TBDMS derivative,77.72,106811,2648885,141686,261413,79437,1231323,150197,0,1039812,74407,9367414,834013,1610943,57024,0,132168,0,164551,200587,487985,172181,1295805,86391
6,2855,13-Docosenoic acid. Z-. TBDMS derivative,82.07,0,545026,0,0,37781,0,105674,0,46452,0,2418808,108123,309704,14570,0,72017,39013,60448,0,112335,0,0,0
7,2665,13-Eicosenoic acid. Z-. TBDMS derivative,66.29,0,917931,0,0,12436,0,0,0,335942,0,3210016,217048,0,542675,0,0,0,0,0,133830,0,0,0
8,2627,15.18-Dihydroxy-8.11.13-abietatrien-7-one. 2TMS,71.52,0,0,12480636,0,0,0,0,0,18196459,10681616,0,0,0,0,0,15188776,0,0,9502974,11767958,0,0,10673543
9,1290,1-Butyldimethylsilyloxy-2-methylpropane,74.32,9022430,2432806,8586071,8738398,4826823,4086983,0,7770261,0,0,0,0,13370794,0,3946799,6399394,0,5678321,5124622,8790194,0,25678380,10243002
10,1261,2-Acetamidothiazole,61.55,0,1937838,0,0,0,1621900,1847127,0,2379818,0,0,1650313,1784695,0,0,0,0,0,1808175,1981653,0,1624520,0
11,2027,2-Hydroxyphenethyl alcohol. 2TBDMS derivative,62.29,0,1445146,0,0,0,0,182899,0,0,103695,0,0,414218,480347,0,114370,0,54464,73664,0,0,110861,0
12,2019,3-Phenyllactic acid. S-. 2TBDMS derivative,84.49,78108,2788861,0,0,68816,44001,0,0,79135,82023,96005,102481,0,273741,0,0,0,0,90719,55654,0,85184,0
13,1733,4-Methoxycarbonylphenol. TBDMS derivative,80.9,524745,630732,1251944,468059,607118,0,0,0,0,376358,1015809,0,3019639,0,394816,644990,0,508094,448354,1126380,0,700593,6927961
14,2444,4-Coumaric acid. 2TBDMS derivative,68.46,327637,0,0,0,0,227720,0,0,0,0,301311,0,3335588,0,0,350416,0,230806,257681,0,227162,0,0
15,1252,4-Methylvaleric acid. TBDMS derivative,78.58,33747,0,0,0,649853,0,642448,0,0,0,550873,0,259700,245014,0,115829,6521,9670,0,5910,0,0,0
16,1549,5.5-Dimethyl-1.3-dioxane-2-ethanol. TBDMS derivative,77.63,7200595,4228231,13055946,7313408,5239711,2992778,708239,1242464,0,0,5995409,2065010,7108483,1878070,7322061,7021762,856086,6774285,6001571,4606163,1941058,3179147,34487898
17,1292,5-Aminovaleric acid. tert.-butyldimethylsilyl ester,64.53,7383017,0,9085573,0,0,7493771,0,8362164,0,0,0,0,11037604,0,0,0,0,7325071,0,0,4513382,0,10879261
18,2456,9.12-Octadecadienoic acid Z.Z-. TBDMS derivative,72.05,195492,2542080,0,324815,60388,696671,568287,0,0,430304,1361937,167052,6655866,0,116260,692515,164076,101141,940765,283018,241094,539950,0
19,2848,Behenic acid. TBDMS derivative,65.09,0,317668,0,0,10817,0,0,0,94686,0,391871,39795,0,17366,0,0,0,0,0,46741,0,0,0
20,1516,Benzeneacetic acid. TBDMS derivative,90.74,0,49257,0,450899,2075621,1992906,2189689,0,2412779,103420,140153,141074,280257,4200900,0,1003358,40012,392607,553720,44567,438458,0,0
21,1210,Bistert-butyldimethylsilylamine,96.96,0,0,0,0,0,65621744,12488351,0,38114376,0,0,13412579,0,0,0,0,0,0,23700185,13278774,0,0,0
22,1531,Butanoic acid. 2-[tert-butyldimethylsilyloxy]-. tert-butyldimethylsilyl ester,72.43,0,617052,55355,88947,1043806,137431,916306,1353994,0,164646,0,852109,45984,0,0,64009,0,171295,0,9614264,0,160053,134786
23,1063,Butyric Acid. TBDMS derivative,83.37,0,0,0,100544,640237,2419770,2748806,0,1694243,0,341693,416695,203006,91837,105741,139936,2012212,0,461955,342752,2179234,0,0
24,3000,Cholest-5-en-3-ol. 3.alpha.-,83.45,88569,14960091,0,87774,8456103,171499,4571703,0,2344527,1630598,196449,3377974,187446,3515578,46248,1221585,4535385,4895938,9996028,7904085,5377207,15170994,0
25,3000,Cholest-814-en-7-ol. 5.alpha.-,67.62,2736253,4194149,0,41973,3593728,152691,4321153,0,938536,351408,13404062,1649411,6122034,1724531,39727,906589,3198247,1711397,2167643,3847875,1228329,3512747,0
26,2912,Cholesta-3.5-diene,84.18,385154,153901,0,0,0,213414,0,0,324297,0,1552024,0,325260,0,0,583219,0,136444,285938,0,113040,586584,0
27,2627,Cholestan-3-ol. 3.alpha..5.beta.-. TBDMS derivative,74.61,0,824059,7794576,0,0,0,0,0,10021122,859507,2096560,0,0,0,0,11723719,0,3081963,0,5629958,0,0,6750891
28,3000,Cholestan-3-ol. 3.beta..5.beta.-,75.8,3954369,101601,391962,634649,1440128,675087,10404330,115985,311267,887459,25007026,55278,10043994,35478,21571,1293562,4751174,115638,5507985,1136183,2962990,8455672,465294
29,3000,Cholestan-3-ol. acetate. 3.beta..5.alpha.-,62.22,4069437,8414211,0,0,4795519,0,7179493,0,1337001,0,4764953,1881685,8719391,1958699,0,1476036,2505766,1272741,0,4424634,0,0,0
30,3000,Cholestan-3-one. 5.alpha.-,86.24,489221,691139,0,12676,26872,342339,1850036,0,9520,36349,13074652,15278,2348090,21283,6353,163032,597371,10493,216152,63375,19917,150520,0
31,3000,Cholestanol,85.48,5540591,190456,0,620345,1098856,1008843,9438827,0,255641,306831,25995130,32774,11984985,94004,7455,2021542,6758219,344082,1997188,712540,1083018,3049374,0
32,3000,Cholesterol,81.58,1172311,917483,0,475461,1567746,290982,4783593,0,1341247,1379002,13441000,438937,3007461,1055179,14253,1081465,2653234,1523502,8466589,894306,4563929,12818779,0
33,2951,cis-15-Tetracosenoic acid. propyl ester,64.27,138428,728887,0,65355,187712,698337,469001,0,106463,46713,1262531,76989,683662,71468,18799,169843,38569,118477,411174,272673,58908,419316,0
34,3000,cis-15-Tetracosenoic acid. tert-butyldimethylsilyl ester,86.08,0,4691309,0,123691,206412,40727,0,0,593941,8708,6043878,197657,0,81818,0,0,0,0,715569,629174,121250,23219,0
35,2488,Diethylene glycol dibenzoate,79.19,37593486,51820746,29053896,35146598,39304148,0,29335836,31725754,34017288,40933132,50119532,40467666,48375920,35325256,35022700,52694752,22478406,36739784,0,24650242,0,57155546,29509305
36,1665,Diethylene glycol. 2TBDMS derivative,71.94,0,1843694,1457513,1283182,1033198,1039523,1047762,0,0,0,1632444,0,3986337,0,989146,1179430,0,0,1069214,1084266,1037370,0,2141088
37,3000,Epicholestanol,77.1,5646354,135483,0,2929535,1701778,1159525,10742160,0,381476,416574,23077221,552646,13084467,545665,125135,2022252,7050856,90416,2738247,2293325,1535477,4636265,0
38,2748,Heneicosanoic acid. TBDMS derivative,63.96,0,294637,0,0,27344,0,0,0,21002,0,262606,22420,0,17106,0,0,0,0,0,23881,0,0,0
39,1291,Hymexazole. tert-butyldimethylsilyl ether,69.77,7477887,1675562,18543688,6186916,3278204,4577152,0,17040610,0,0,3668632,733598,13915020,926596,5197081,3383517,0,5709596,9416290,5919830,1479310,4065068,22410885
40,1712,Isoleucine. 2TBDMS derivative,75.31,0,786047,115330,0,0,0,0,221550,197253,104730,118830,407529,98857,0,0,105807,0,230361,0,1020268,0,815517,156525
41,3000,Lathosterol,66.05,69184,128949,0,0,14696,0,399358,0,87334,0,2704107,30372,77160,357602,0,197401,2296122,115636,0,25979,0,0,0
42,3000,Lignoceric acid. TBDMS derivative,75.68,0,1339144,0,0,55412,0,0,0,20461,0,722183,33151,0,121002,0,0,0,0,0,139524,0,0,0
43,1682,L-Leucine. 2TBDMS derivative,87.32,305683,2132639,113482,334027,0,85794,0,279883,346634,180898,257489,1336018,439809,0,317534,126710,122046,430821,125495,3448222,0,2507181,187945
44,1937,L-Pyroglutamic acid. 2TBDMS,83.52,0,2431036,142221,0,0,89078,0,152680,112420,0,0,178059,0,0,0,187291,0,478020,274349,860852,263455,2358999,205684
45,2650,Oleamide. TBDMS derivative,66.76,0,1037231,0,0,1191423,0,0,0,213123,0,1204493,1122646,0,631923,0,0,0,0,0,621980,0,0,0
46,2461,Oleic Acid. Z-. TBDMS derivative,86.03,3184818,33308328,13042685,5354385,3884698,14755462,3360558,2317475,4458323,4048262,47102606,7014884,36252602,2104142,1435452,7036377,1250549,4526412,5379255,8904435,793547,16448252,3031922
47,2486,Oxybispropane-1.2-diyl dibenzoate,66.39,21057102,33453698,0,22123578,22029045,0,18006012,0,19117594,23977489,29722985,23573215,31505974,19623612,20758556,33126370,0,18920911,0,0,0,40877000,0
48,3000,Pentacosanoic acid. tert-butyldimethylsilyl ester,67.47,0,884630,0,0,69016,0,0,0,70730,0,321728,36810,0,104956,0,0,0,0,0,108781,0,0,0
