numID,KI_exp,compound,similarity,ASW74,ASW47,ASW20,ASW68,ASW38,ASW54,ASW19,ASW59,ASW50,ASW31,ASW66,ASW35,ASW67,ASW7,ASW2,ASW22,ASW29,ASW37,ASW11,ASW65,ASW56,ASW51,ASW15
1,888,Styrene,94.1,22361523,123501480,62357884,142250952,89927564,0,132235140,33612078,21310672,130645552,91975476,102138114,113413572,134619088,151340432,106765272,114720716,101032196,114218332,91591816,0,86590444,125435004
2,1269,n-Propyl benzoate,88.76,807917,2060758,2391673,13377349,2172183,0,2999910,0,6833308,0,5658326,1586519,26795227,47377467,1260209,3612535,849216,0,4512067,4305628,0,0,10876684
3,1183,Naphthalene,92.23,1070847,33835604,5324527,5921722,0,50374040,1062693,1823673,2759586,2852612,2738991,3234397,2145072,915788,2465932,0,0,4162581,3552856,4749032,43976420,913660,0
4,959,Benzaldehyde,69.29,1990631,4790799,1737977,1884092,2852014,13133946,17670448,1531035,13723592,2932577,19358395,5173650,8706812,2935532,4325342,2140178,2284939,3224322,3452772,34596654,9112500,2534875,4684479
5,857,Ethylbenzene,92.38,4782674,14969865,10639713,27343044,18557697,381043,22765938,8850548,1001975,15727439,9242449,12654312,10657497,15222087,23235985,20344525,19948683,13582157,15654565,14014417,438638,16031068,16476601
6,1168,Benzoic acid. ethyl ester,74.47,1647575,1495034,850451,7792865,1155826,160930,5031530,286491,4933600,200316,6296467,2141744,18556498,22539154,591742,5418817,402183,237324,1472132,5449053,4935507,120055,4918101
7,1075,Phenol 3-methyl-,74.22,256865,441081,522323,7698748,13625179,9098124,5962265,0,215015,435804,29162876,504142,320090,1079895,99153,221485,333076,210602,218258,1018305,818854,284429,182049
8,1289,Indole,66.44,1146185,0,0,0,2920586,2102468,1874289,0,9464189,0,22545582,1145160,2463740,0,0,1312519,0,0,7172751,0,1706681,0,6992580
9,1002,Pentanoic acid. 4-methyl-,66.08,2773346,0,0,3105671,9755442,2332990,0,603610,0,0,4516303,0,2066942,0,657848,16423553,0,907287,305560,813653,1775344,0,777775
10,866,p-Xylene,80.6,0,1204635,9770529,5731018,815438,0,0,9795453,0,0,0,0,2387886,0,0,0,0,0,0,0,1427735,1185024,232909
11,1672,3-Methyl-Z.Z-4.6-hexadecadiene,77.98,0,309878,151796,137790,162318,2469130,1206358,0,121757,0,4300710,0,9140251,86541,0,147900,95091,92956,2239215,98437,160357,235498,103291
12,1700,Hexadecane. 2.6.10-trimethyl-,74.32,927349,491951,434156,535786,243463,497077,1018164,0,336698,0,2022398,0,8523303,387542,0,565837,443005,202179,545170,724856,385743,2031584,659285
13,1952,n-Hexadecanoic acid,70.55,0,7166606,2136846,1921791,0,3696568,2636694,3394838,0,0,0,0,6570776,0,0,0,0,0,0,2085541,3655337,2726059,2025898
14,1500,Butylated Hydroxytoluene,70.24,0,539005,0,0,0,0,728697,0,0,0,3302062,1480892,3718505,3367946,0,0,7166000,0,0,0,0,0,0
15,1063,Acetophenone,70.25,244280,0,0,0,691829,6805010,782941,0,0,0,1013544,0,0,503032,0,362286,333998,367558,0,0,7447735,300425,585268
16,1072,.alpha.-Methyl-.alpha.-[4-methyl-3-pentenyl]oxiranemethanol,73.54,15955,36377,11690,80824,241068,4308959,47917,0,2019242,5067,34978,24981,160156,52551,29375,52792,8625,17291,31395,2399382,7939307,11055,12794
17,743,Hexa-1.3.5-triyne,67.16,3333350,0,0,0,31492,100833,806744,0,0,263371,126645,2552811,0,4924628,215798,110188,238693,552228,234798,0,675121,154094,16728
18,1278,Nonanoic acid,66.65,5325337,1615870,0,1529994,0,2354359,0,2098220,6568733,2725176,0,2324549,0,2254466,4253525,0,0,6071068,2845196,2439280,2129813,0,1794928
19,>3000,Epicholestanol,83.75,0,300379,6424,442465,11917,0,0,12406,0,0,5181,0,4183476,0,0,0,0,13306,0,0,1338698,496620,41685
20,1187,3-Methyl-2.3-dihydro-benzofuran,66.7,1493858,0,2532658,1483856,0,1967267,756960,0,1023395,1149072,1273134,363190,1033224,1005517,0,317368,0,2249776,2847512,442795,3163419,409928,720087
21,801,2-Propenoic acid. butyl ester,66.07,690698,0,0,0,642223,6027023,509466,0,0,2060731,1456000,0,0,308054,595708,0,0,490562,478349,309480,2886312,329687,0
22,1499,Phenol. 4.6-di1.1-dimethylethyl-2-methyl-,65.44,0,401829,0,0,287855,532188,616691,0,0,249732,2021107,376939,3144299,2623967,0,212460,5401774,200871,2004938,219298,590820,571699,0
23,942,Butanoic acid. 2-methyl-,68.44,1582677,0,0,0,0,0,101516,0,21138,1513611,0,3228618,0,0,743484,0,0,0,2837189,2361248,0,0,0
24,1468,1-Ethynylcyclododecanol,70.83,167744,1032930,719751,232384,180789,933235,268125,0,196373,0,773416,740019,3479244,234740,193280,0,0,0,577937,0,270839,0,0
25,1171,Benzene. 1-ethenyl-4-methoxy-,69.42,0,185823,0,459110,326979,3017176,1976297,253143,0,0,406924,0,1319304,317376,234466,0,0,0,0,0,2544653,0,0
26,1356,Dodecane. 1-fluoro-,71.64,37139,216835,93753,161405,185411,116346,141286,106166,0,0,3811498,134447,301049,60240,186295,59098,48746,45706,2148837,558669,777900,280819,236131
27,1478,3-Buten-2-one. 4-2.6.6-trimethyl-1-cyclohexen-1-yl-,70.96,0,306772,360676,0,452848,426794,146309,0,0,0,348288,342940,3093359,0,0,144577,0,168899,367857,255049,485121,1239946,145275
28,<600,Propanal,70.94,195722,0,1783419,0,270052,1141466,432119,0,0,0,1952559,0,292962,478223,0,389567,451194,231716,0,0,740783,0,1359503
29,>3000,Cholesterol,76.78,0,704786,7005,32403,10270,0,0,6283,0,0,6540,0,110481,0,0,0,0,5739,0,0,1201045,480326,39207
30,1353,2-2-Ethyl-1.3-dimethyl-cyclopent-2-enyl-propan-2-ol,66.49,26222,0,0,0,15069,966590,319771,0,0,0,86468,0,0,81779,0,195106,12298,32508,0,0,1140238,25413,557821
31,1593,1-Decanol. 2-hexyl-,70.93,86630,285875,0,133094,385406,348976,807435,0,0,96261,288185,0,221569,171522,112844,384061,360252,94537,418453,120515,248904,173069,112438
32,2851,3-Methyl-2.4.6-triphenylpyridine,66.87,0,0,0,0,44043,0,0,0,12112,0,43540,12205,0,0,0,0,0,20133,15852,594402,7552,7201,14701
33,1356,2-Azido-2.4.4.6.6-pentamethylheptane,66.18,37462,0,0,0,204515,228106,35506,0,0,0,952022,0,0,39400,0,6905,113019,96309,0,0,358251,185186,95830
