compound,Anaerococcus mediterraneensis,Anaerococcus obesiensis,Anaerococcus prevotii,Anaerococcus vaginalis,Bacteroides fragilis,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bifidobacterium longum,Blautia hansenii,Clostridium perfringens,Clostridium septicum,Clostridium sp,Collinsella aerofaciens,Escherichia coli,Ezakiella coagulans,Ezakiella massiliensis,Fenollaria massiliensis,Fenollaria sporofastidiosus,Finegoldia magna,Flavonifractor plautii,Helcococcus kunzii,Megamonas funiformis,Parabacteroides distasonis,Parabacteroides merdae,Peptacetobacter hiranonis,Peptoniphilus harei,Peptoniphilus sp,Phocaeicola vulgatus,Ruminococcus gnavus,Streptococcus agalactiae,Streptococcus anginosus,Streptococcus canis,Streptococcus constellatus,Streptococcus dysgalactiae,Streptococcus equi,Streptococcus pneumoniae,Streptococcus pyogenes,Trueperella pecoris,Trueperella pyogenes
Styrene,0.4125255,0.369026108,0.551099509,0.409458853,0.882547937,0.996218305,0.876596442,0.857981591,0.949712601,0.774108166,0.67369759,0.586697587,0.664831701,0.299461659,0.886084232,0.301775937,0.400386085,0.301785714,0.343446083,0.451084852,0.29471727,0.780974541,0.785986804,0.994567735,0.775436369,0.732415509,0.18155821,0.380573062,0.998199229,0.812728885,0.284863001,0.950439041,0.812937278,0.78188762,0.32301059,0.920578664,0.316912643,0.30184953,0.98549701,0.920148418
n.Propyl.benzoate,0.841846736,0.783674402,0.731329776,0.709735874,0.768978561,0.996218305,0.946031613,0.979965569,0.991387667,0.961173461,0.974793072,0.98518698,0.895403357,0.798216729,0.971193442,0.981758898,0.912889217,0.603943653,0.899982479,0.990014252,0.981993692,0.961227732,0.970170957,0.994567735,0.868924928,0.929900805,0.967565462,0.990840482,0.998199229,0.991814787,0.919664607,0.466282073,0.75290819,0.605046546,0.897982008,0.717863636,0.836899011,0.953831113,0.910911064,0.678168927
Naphthalene,0.841846736,0.518615189,0.98830705,0.567263971,0.921377598,0.996218305,0.876596442,0.823145317,0.949712601,0.751265691,0.125077744,0.962568067,0.166804209,0.569935688,0.201753116,0.870541083,0.793252581,0.782704689,0.718389893,0.567180265,0.475741979,0.869996611,0.218921077,0.994567735,0.87414605,0.274351161,0.714041992,0.723209987,0.998199229,0.900145193,0.466621854,0.738672427,0.684284395,0.762784578,0.574496052,0.583270137,0.698217075,0.643477372,0.965988344,0.63024663
Benzaldehyde,0.719108397,0.702351242,0.828719764,0.780363241,0.85134949,0.996218305,0.876596442,0.823145317,0.949712601,0.867854263,0.79702379,0.833031261,0.810564098,0.366990111,0.819591333,0.606304943,0.534170091,0.526283699,0.720049107,0.87441645,0.333472483,0.826490972,0.888220378,0.994567735,0.826490972,0.957480461,0.714041992,0.598762557,0.998199229,0.830420956,0.466621854,0.777502821,0.53381187,0.659992347,0.593822735,0.440330336,0.540620485,0.48326148,0.759443691,0.833316618
Ethylbenzene,0.340360725,0.308720497,0.411062424,0.321887759,0.994597312,0.996218305,0.876596442,0.877913356,0.949712601,0.851632787,0.396554272,0.386951349,0.454116527,0.377294408,0.582372852,0.381959855,0.202131884,0.273329188,0.275371501,0.44192493,0.184429424,0.700021155,0.907668139,0.994567735,0.775436369,0.988766064,0.18155821,0.223876836,0.998199229,0.830420956,0.284768562,0.656272717,0.970862749,0.979688774,0.208613473,0.959845619,0.25473689,0.254479118,0.910911064,0.690534168
Benzoic.acid..ethyl.ester,0.988851504,0.913128083,0.89301703,0.869667066,0.181317984,0.996218305,0.876596442,0.624260784,0.991387667,0.917461432,0.79702379,0.952812535,0.890679499,0.477357029,0.802065034,0.959130722,0.874649206,0.835499954,0.888784722,0.979362138,0.954999915,0.826490972,0.727288095,0.994567735,0.868924928,0.988766064,0.978455636,0.836248702,0.998199229,0.962797339,0.968837854,0.85246262,0.965036297,0.696543741,0.933338094,0.9345681,0.854533771,0.953831113,0.868924457,0.690534168
Phenol.3.methyl.,0.4176874,0.783674402,0.493729867,0.795700283,0.551540063,0.996218305,0.876596442,0.657732482,0.949712601,0.783095584,0.535202497,0.356814473,0.370108985,0.649172862,0.389240288,0.677119151,0.584684618,0.705612128,0.422206152,0.531468043,0.480806003,0.869996611,0.536079659,0.994567735,0.775436369,0.499784473,0.970324769,0.836248702,0.998199229,0.830420956,0.779661412,0.967257064,0.395155528,0.633713978,0.493991864,0.413238393,0.569974634,0.454739853,0.979653555,0.962038232
Indole,0.424817403,0.397843168,0.551099509,0.353110418,0.247606707,0.996218305,0.876596442,0.677735622,0.949712601,0.735011287,0.796505936,0.664480779,0.758220346,0.269215877,0.857012081,0.399392641,0.455900728,0.314008814,0.446366111,0.673503403,0.44789657,0.700021155,0.525606516,0.994567735,0.955982941,0.656085058,0.724754282,0.543020485,0.998199229,0.812728885,0.420181078,0.950902746,0.868248617,0.752486549,0.546405308,0.675948388,0.384029003,0.454739853,0.941607218,0.954188861
Pentanoic.acid..4.methyl.,0.817662289,0.913128083,0.565296038,0.996318953,0.097957533,0.996218305,0.876596442,0.624260784,0.991387667,0.762309347,0.391245772,0.81306213,0.365650786,0.357403571,0.588009782,0.991387667,0.703198022,0.986301021,0.718389893,0.982888058,0.094887381,0.869996611,0.300763411,0.997831159,0.775436369,0.905601357,0.926886137,0.748281308,0.998199229,1,0.824988776,0.463951863,0.954542029,0.708455411,1,0.523065615,0.64056,0.851747473,0.98549701,0.950639461
p.Xylene,0.15796332,0.237313655,0.078478317,0.287600437,0.750459902,0.996218305,0.930382614,0.979965569,0.991387667,0.969599707,0.351680487,0.056777355,0.377481377,0.474462093,0.421260576,0.098879922,0.087882959,0.161308398,0.061696369,0.404255582,0.378926671,0.700021155,0.896629031,0.994567735,0.903615826,0.988766064,0.636689617,0.159235887,0.998199229,0.973126395,0.260807467,0.156598209,0.495288863,0.36742031,0.157628883,0.213425509,0.152262071,0.206492274,0.759443691,0.63024663
