compound,Anaerococcus mediterraneensis,Anaerococcus obesiensis,Anaerococcus prevotii,Anaerococcus vaginalis,Bacteroides fragilis,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bifidobacterium longum,Blautia hansenii,Clostridium perfringens,Clostridium septicum,Clostridium sp,Collinsella aerofaciens,Escherichia coli,Ezakiella coagulans,Ezakiella massiliensis,Fenollaria massiliensis,Fenollaria sporofastidiosus,Finegoldia magna,Flavonifractor plautii,Helcococcus kunzii,Megamonas funiformis,Parabacteroides distasonis,Parabacteroides merdae,Peptacetobacter hiranonis,Peptoniphilus harei,Peptoniphilus sp,Phocaeicola vulgatus,Ruminococcus gnavus,Streptococcus agalactiae,Streptococcus anginosus,Streptococcus canis,Streptococcus constellatus,Streptococcus dysgalactiae,Streptococcus equi,Streptococcus pneumoniae,Streptococcus pyogenes,Trueperella pecoris,Trueperella pyogenes
Styrene,-0.254015328,-0.267358545,-0.198665684,-0.253521135,0.032616754,0.101309615,0.308870778,0.101803808,0.363726228,0.189276013,-0.122559925,-0.195206332,-0.120583152,0.387447504,0.031628368,-0.403755881,-0.374104286,-0.387447504,-0.31826045,-0.264887579,0.228317279,-0.230788245,0.107239934,0.233753405,0.217939221,0.139362495,-0.569804811,-0.396342982,0.098344456,0.352359783,-0.371139127,-0.030639981,0.085495431,0.085495431,-0.305905618,0.040029653,-0.316283677,-0.384482344,-0.029651595,0.05633803
n.Propyl.benzoate,0.067782294,0.106159034,0.113136623,0.133072592,0.064791899,-0.196369293,0.031399151,0.016945573,0.121111011,-0.050338321,-0.006977589,0.008971186,0.034389546,-0.090708658,0.007974388,-0.007475988,0.034389546,0.174439727,0.035884744,-0.003987194,-0.004983992,-0.020932767,0.013456779,0.128586999,0.117622216,0.05083672,-0.046351128,0.004983992,-0.124599805,-0.03189755,0.037379942,0.211321269,0.109647828,0.159487751,0.0637951,0.114631821,0.060306306,0.024421562,0.160484549,0.223282851
Naphthalene,0.069836767,0.199604376,0.004457666,0.182269009,0.021793034,0.266964662,-0.156513605,0.131253498,0.271422328,0.238732778,0.426450045,-0.02228833,0.385340459,0.197623191,0.27637529,0.062407324,0.094106282,0.101040429,0.117385204,0.183259601,0.156513605,0.108965168,0.412086454,0.042595475,-0.102031021,0.396236975,0.294205954,0.137197053,0.15849479,0.131253498,0.225855076,0.115899315,0.143635904,0.092620393,0.181278416,0.158990086,0.124814647,0.1441312,-0.118375796,-0.246162221
Benzaldehyde,0.119565217,0.133399209,0.077075099,0.113636364,-0.041501976,-0.086956522,-0.441699605,-0.128458498,-0.318181818,-0.113636364,0.075098814,0.084980237,0.064229249,-0.314229249,0.050395257,0.22826087,0.238142292,0.213438735,0.111660079,0.06027668,-0.210474308,0.15513834,-0.061264822,-0.317193676,-0.174901186,-0.040513834,0.291501976,0.2243083,-0.095849802,-0.303359684,0.2243083,-0.097826087,-0.212450593,-0.139328063,0.171936759,-0.221343874,0.195652174,0.226284585,-0.212450593,-0.135375494
Ethylbenzene,-0.32312253,-0.31027668,-0.346837945,-0.299407115,0.001976285,0.083992095,0.253952569,0.076086957,0.232213439,0.119565217,-0.241106719,-0.322134387,-0.212450593,0.306324111,0.12055336,-0.365612648,-0.469367589,-0.409090909,-0.386363636,-0.282608696,0.286561265,-0.263833992,-0.048418972,0.130434783,0.295454545,-0.011857708,-0.56916996,-0.482213439,0.066205534,0.286561265,-0.39229249,-0.14229249,-0.010869565,0.010869565,-0.442687747,-0.019762846,-0.416996047,-0.454545455,0.162055336,0.217391304
Benzoic.acid..ethyl.ester,0.008893281,0.035573123,0.045454545,0.055335968,0.288537549,-0.099802372,0.144268775,0.265810277,0.096837945,-0.080039526,-0.075098814,-0.028656126,-0.040513834,-0.240118577,-0.055335968,-0.018774704,-0.051383399,0.080039526,-0.045454545,0.018774704,-0.01284585,-0.169960474,-0.132411067,0.170948617,0.110671937,-0.013833992,-0.023715415,-0.071146245,-0.087944664,-0.078063241,-0.014822134,0.06916996,-0.020750988,0.124505929,0.032608696,0.027667984,-0.052371542,0.023715415,0.177865613,0.217391304
Phenol.3.methyl.,-0.245059289,-0.106719368,-0.242094862,-0.101778656,0.130434783,0.065217391,0.10770751,0.212450593,0.216403162,-0.182806324,-0.175889328,-0.342885375,-0.253952569,-0.158102767,0.187747036,-0.153162055,-0.192687747,-0.127470356,-0.255928854,-0.20256917,0.154150198,0.114624506,-0.22826087,0.15513834,0.316205534,-0.246047431,0.03458498,-0.071146245,0.17687747,-0.185770751,-0.105731225,-0.017786561,-0.31027668,-0.150197628,-0.216403162,-0.233201581,-0.182806324,-0.247035573,0.097826087,0.028656126
Indole,0.237592284,0.254338877,0.203052436,0.284692076,-0.25119889,-0.373658349,-0.313998613,-0.20514576,-0.496117809,-0.377844998,-0.077452991,0.150719334,-0.083732963,-0.442738044,-0.039773158,0.351678447,0.34330515,0.350631785,0.237592284,0.141299376,-0.166419265,0.333885192,-0.234452298,-0.254338877,-0.027213213,-0.171652575,0.283645414,0.28155209,-0.216659043,-0.370518363,0.25119889,0.023026565,-0.059659736,-0.099432894,0.195725802,-0.128739431,0.271085469,0.241778932,-0.142346038,-0.036633172
Pentanoic.acid..4.methyl.,-0.082523243,-0.038714608,-0.188479013,0.001018805,0.353525499,0.168102903,0.209873928,0.265908229,-0.066222356,-0.206817511,-0.246550925,-0.092711298,-0.257757785,-0.318886113,0.11920024,0,-0.126331879,0.009169249,-0.117162629,0.013244471,0.356581916,0.106974575,-0.34435625,0.012225666,0.283227922,-0.058071912,-0.094748909,-0.123275462,0.272021061,0.003056416,-0.082523243,-0.212930344,-0.024451331,-0.115125019,0,-0.185422596,-0.155877237,-0.067241161,-0.061128328,0.04278983
p.Xylene,-0.519630053,-0.374851917,-0.569572898,-0.331081783,0.070144446,0.126821158,0.046014756,-0.015712356,-0.014028889,-0.038158578,-0.277772005,-0.594263743,-0.250275382,0.244663826,0.176202847,-0.566205965,-0.572378676,-0.520191209,-0.581918321,-0.361384184,0.192476359,-0.350722228,-0.053870934,-0.031985867,-0.084173335,-0.025252,-0.34286605,-0.534781253,0.112792269,0.057799023,-0.437701341,-0.396175829,-0.239052271,-0.280016627,-0.483716097,-0.335009872,-0.520752364,-0.483716097,-0.214361426,-0.246347293
